frame,blink,gaze_vel,AU1-neg,AU1-pos,AU2-neg,AU2-pos,AU3-neg,AU3-pos,AU4-neg,AU4-pos,AU5-neg,AU5-pos,AU6-neg,AU6-pos,AU7-neg,AU7-pos,AU8-neg,AU8-pos,AU9-neg,AU9-pos,AU10-neg,AU10-pos,AU11-neg,AU11-pos,AU12-neg,AU12-pos
1530,0,14.570003524453783,-0.0061,-5.0975,-0.0088,-4.7319,-0.0613,-2.8219,-0.0411,-3.2131,-0.4086,-1.0923,-0.1509,-1.9656,-1.5041,-0.2513,-0.0292,-3.5475,-0.2882,-1.3847,-0.0994,-2.3582,-0.1388,-2.0432,-0.0198,-3.9300
1560,0,11.40571583325969,-0.0067,-5.0121,-0.0202,-3.9120,-0.0310,-3.4891,-0.0446,-3.1318,-0.2626,-1.4656,-0.1634,-1.8922,-1.9611,-0.1516,-0.0318,-3.4631,-0.2820,-1.4036,-0.0909,-2.4428,-0.0962,-2.3889,-0.0174,-4.0615
1590,0,30.46994621312525,-0.3008,-1.3478,-0.3218,-1.2904,-0.7732,-0.6190,-0.0635,-2.7888,-0.6034,-0.7918,-0.2672,-1.4504,-0.7140,-0.6728,-0.4780,-0.9677,-0.0603,-2.8387,-0.0191,-3.9671,-0.0052,-5.2671,-0.0014,-6.5520
1620,2,19.5386995860035,-0.6502,-0.7380,-0.0927,-2.4241,-2.2138,-0.1157,-0.0551,-2.9259,-1.1832,-0.3657,-0.0498,-3.0252,-0.1120,-2.2448,-0.1034,-2.3202,-0.0156,-4.1667,-0.2991,-1.3528,-0.0157,-4.1594,-0.0061,-5.1017
1650,1,51.51461905377873,-0.0336,-3.4100,-0.0226,-3.8024,-0.6006,-0.7952,-0.1646,-1.8854,-1.8049,-0.1797,-0.3970,-1.1157,-1.1436,-0.3837,-0.1048,-2.3079,-0.2101,-1.6634,-0.3050,-1.3362,-0.2946,-1.3658,-0.0848,-2.5095
1680,1,28.297442675876777,-0.0107,-4.5438,-0.0130,-4.3493,-0.0408,-3.2204,-0.0911,-2.4410,-0.9879,-0.4658,-0.0886,-2.4677,-1.0667,-0.4218,-0.0281,-3.5877,-0.6879,-0.6985,-0.1576,-1.9253,-0.0497,-3.0270,-0.0389,-3.2654
1710,0,16.158423277565653,-0.0218,-3.8359,-0.0208,-3.8853,-0.0306,-3.5025,-0.0495,-3.0297,-0.3858,-1.1391,-0.1352,-2.0681,-1.8982,-0.1623,-0.0395,-3.2522,-0.6909,-0.6954,-0.1555,-1.9379,-0.0857,-2.4999,-0.0279,-3.5939
1740,0,29.73988599424431,-0.0800,-2.5658,-0.2299,-1.5830,-0.0486,-3.0484,-0.0871,-2.4839,-0.2724,-1.4334,-0.2120,-1.6552,-2.3046,-0.1051,-0.0950,-2.4014,-0.6025,-0.7928,-0.0679,-2.7229,-0.0483,-3.0544,-0.0040,-5.5165
1770,0,18.807258434080453,-0.0151,-4.2007,-0.0312,-3.4840,-0.0124,-4.3957,-0.0581,-2.8750,-0.4006,-1.1084,-0.1723,-1.8435,-2.9480,-0.0539,-0.0629,-2.7974,-0.4727,-0.9764,-0.1338,-2.0775,-0.0901,-2.4520,-0.0123,-4.4021
1800,0,11.48315811370303,-0.0131,-4.3391,-0.0117,-4.4506,-0.0169,-4.0914,-0.0618,-2.8145,-0.4815,-0.9619,-0.1344,-2.0730,-2.3618,-0.0990,-0.0445,-3.1338,-0.5860,-0.8132,-0.1535,-1.9497,-0.1251,-2.1407,-0.0234,-3.7669
1830,0,9.940769534922339,-0.0213,-3.8619,-0.0282,-3.5814,-0.0164,-4.1166,-0.1357,-2.0641,-0.4682,-0.9838,-0.3628,-1.1898,-3.8265,-0.0220,-0.0982,-2.3696,-0.7700,-0.6218,-0.1085,-2.2747,-0.2364,-1.5582,-0.0046,-5.3735
1860,0,6.353605979266818,-0.0106,-4.5561,-0.0139,-4.2811,-0.0248,-3.7105,-0.0532,-2.9601,-0.3583,-1.2001,-0.1707,-1.8520,-2.7380,-0.0669,-0.0716,-2.6722,-0.7224,-0.6648,-0.2253,-1.6007,-0.1438,-2.0107,-0.0386,-3.2747
1890,0,15.654363126958161,-0.0603,-2.8378,-0.0918,-2.4341,-0.0386,-3.2745,-0.0637,-2.7851,-0.3491,-1.2218,-0.1579,-1.9234,-2.3541,-0.0998,-0.0476,-3.0677,-0.2202,-1.6214,-0.0773,-2.5985,-0.0262,-3.6548,-0.0052,-5.2600
1920,0,13.282333154819776,-0.0183,-4.0096,-0.0341,-3.3965,-0.0141,-4.2683,-0.0586,-2.8654,-0.3838,-1.1434,-0.1990,-1.7122,-2.8210,-0.0614,-0.0651,-2.7643,-0.3467,-1.2276,-0.1277,-2.1212,-0.0712,-2.6781,-0.0103,-4.5782
1950,1,15.109227064522507,-0.0145,-4.2379,-0.0195,-3.9448,-0.0176,-4.0464,-0.0468,-3.0849,-0.3432,-1.2362,-0.1522,-1.9575,-2.3412,-0.1012,-0.0422,-3.1869,-0.3265,-1.2782,-0.1407,-2.0308,-0.0648,-2.7688,-0.0107,-4.5468
1980,1,14.081742589345229,-0.0144,-4.2490,-0.0255,-3.6808,-0.0069,-4.9865,-0.0932,-2.4190,-0.4057,-1.0982,-0.2297,-1.5835,-2.9036,-0.0564,-0.0412,-3.2110,-0.3523,-1.2141,-0.1497,-1.9728,-0.0766,-2.6077,-0.0096,-4.6491
2010,1,7.274441287814,-0.0148,-4.2179,-0.0206,-3.8918,-0.0251,-3.6964,-0.0515,-2.9910,-0.3062,-1.3327,-0.1338,-2.0774,-2.5776,-0.0790,-0.0363,-3.3328,-0.4257,-1.0594,-0.1123,-2.2423,-0.0410,-3.2153,-0.0070,-4.9649
2040,0,8.433203647267739,-0.0161,-4.1379,-0.0350,-3.3698,-0.0184,-4.0067,-0.0605,-2.8355,-0.2763,-1.4212,-0.1949,-1.7313,-2.8691,-0.0584,-0.0705,-2.6875,-0.3560,-1.2056,-0.1061,-2.2955,-0.0528,-2.9678,-0.0102,-4.5877
2070,0,10.73867821360807,-0.0198,-3.9299,-0.0167,-4.0983,-0.0236,-3.7584,-0.0475,-3.0713,-0.3723,-1.1684,-0.1655,-1.8801,-2.5638,-0.0801,-0.0338,-3.4038,-0.3397,-1.2447,-0.1280,-2.1194,-0.0615,-2.8188,-0.0103,-4.5854
2100,1,12.780924821499408,-0.0191,-3.9691,-0.0159,-4.1515,-0.0365,-3.3274,-0.0602,-2.8401,-0.3877,-1.1351,-0.2171,-1.6341,-2.3242,-0.1030,-0.0478,-3.0652,-0.3532,-1.2121,-0.1602,-1.9106,-0.0948,-2.4031,-0.0164,-4.1177
2130,0,6.420341532510236,-0.0197,-3.9353,-0.0162,-4.1313,-0.0305,-3.5052,-0.0603,-2.8387,-0.3274,-1.2758,-0.1978,-1.7178,-2.5294,-0.0831,-0.0448,-3.1277,-0.4130,-1.0838,-0.1525,-1.9561,-0.1181,-2.1945,-0.0202,-3.9109
2160,0,7.885442963089769,-0.0161,-4.1349,-0.0190,-3.9724,-0.0194,-3.9536,-0.0485,-3.0505,-0.2683,-1.4466,-0.2197,-1.6235,-2.6096,-0.0764,-0.0509,-3.0025,-0.4869,-0.9532,-0.1350,-2.0691,-0.1207,-2.1739,-0.0203,-3.9065
2190,1,14.785128695153045,-0.0122,-4.4144,-0.0132,-4.3332,-0.0216,-3.8436,-0.0439,-3.1473,-0.3020,-1.3445,-0.1578,-1.9245,-2.6258,-0.0751,-0.0442,-3.1412,-0.4643,-0.9905,-0.1635,-1.8918,-0.1396,-2.0377,-0.0229,-3.7887
2220,1,12.7201360314172,-0.0197,-3.9386,-0.0264,-3.6475,-0.0378,-3.2945,-0.0621,-2.8093,-0.3838,-1.1435,-0.1708,-1.8515,-2.3720,-0.0979,-0.0463,-3.0966,-0.5270,-0.8924,-0.1377,-2.0508,-0.1314,-2.0947,-0.0241,-3.7381
2250,0,8.575834155728788,-0.0212,-3.8632,-0.0263,-3.6510,-0.0117,-4.4563,-0.0375,-3.3022,-0.2167,-1.6355,-0.1652,-1.8821,-2.4952,-0.0861,-0.0555,-2.9197,-0.3598,-1.1966,-0.1475,-1.9867,-0.1322,-2.0891,-0.0146,-4.2323
2280,1,15.745703121665537,-0.0157,-4.1599,-0.0252,-3.6941,-0.0213,-3.8607,-0.0486,-3.0481,-0.3728,-1.1672,-0.1860,-1.7733,-2.5872,-0.0782,-0.0348,-3.3757,-0.5071,-0.9219,-0.1338,-2.0779,-0.0990,-2.3621,-0.0160,-4.1423
2310,0,19.053838217417383,-0.0263,-3.6499,-0.0263,-3.6501,-0.0338,-3.4039,-0.0622,-2.8088,-0.4453,-1.0234,-0.1445,-2.0059,-2.1190,-0.1280,-0.0328,-3.4323,-0.3421,-1.2388,-0.1367,-2.0572,-0.0759,-2.6156,-0.0188,-3.9852
2340,0,12.584342320622731,-0.0263,-3.6526,-0.0095,-4.6646,-0.0365,-3.3285,-0.0515,-2.9923,-0.3496,-1.2206,-0.1398,-2.0366,-2.7348,-0.0671,-0.0474,-3.0732,-0.4538,-1.0084,-0.1261,-2.1332,-0.1323,-2.0883,-0.0022,-6.1018
2370,1,27.189133434634723,-0.0189,-3.9802,-0.0568,-2.8959,-0.0275,-3.6077,-0.1487,-1.9791,-0.4275,-1.0560,-0.1441,-2.0083,-2.7142,-0.0686,-0.0325,-3.4416,-0.2515,-1.5033,-0.1029,-2.3252,-0.0611,-2.8257,-0.0138,-4.2926
2400,0,14.361023728305865,-0.0159,-4.1522,-0.0249,-3.7043,-0.0188,-3.9813,-0.0853,-2.5043,-0.3240,-1.2847,-0.1094,-2.2673,-2.7323,-0.0673,-0.0371,-3.3117,-0.2539,-1.4952,-0.0813,-2.5501,-0.0821,-2.5410,-0.0062,-5.0919
2430,0,18.595002968304634,-0.0179,-4.0297,-0.0122,-4.4099,-0.0124,-4.3925,-0.0749,-2.6286,-0.3249,-1.2822,-0.2074,-1.6751,-2.9126,-0.0559,-0.0278,-3.5966,-0.2281,-1.5898,-0.1162,-2.2102,-0.1572,-1.9281,-0.0010,-6.8992
2460,1,13.362021422174633,-0.0126,-4.3786,-0.0322,-3.4532,-0.0155,-4.1777,-0.0939,-2.4124,-0.3518,-1.2154,-0.1719,-1.8455,-3.0197,-0.0500,-0.0523,-2.9760,-0.4868,-0.9534,-0.3172,-1.3026,-0.2119,-1.6557,-0.0372,-3.3104
2490,1,7.413604912515919,-0.0217,-3.8399,-0.0383,-3.2803,-0.0252,-3.6941,-0.1024,-2.3301,-0.3935,-1.1229,-0.1883,-1.7622,-2.8718,-0.0583,-0.0569,-2.8945,-0.4871,-0.9530,-0.2722,-1.4341,-0.1951,-1.7304,-0.0260,-3.6619
